epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.892,1.47681,3.01534,1.31543,0.00322,0.96552,0.5299,0.28013,1.30808,3.65915,1.13896,0.00042,0.00042,0.00042
2,345.602,1.45319,2.0018,1.24489,0.00318,0.95402,0.31146,0.18007,1.42161,3.6514,1.23689,0.000842972,0.000842972,0.000842972
3,506.221,1.4693,1.87758,1.24224,0.57054,0.38179,0.48523,0.23909,1.45319,3.03044,1.32976,0.00124852,0.00124852,0.00124852
4,669.64,1.52451,1.76659,1.31416,0.6385,0.44666,0.48539,0.23661,1.64085,2.79779,1.58299,0.00163664,0.00163664,0.00163664
5,828.053,1.53974,1.7064,1.36666,0.54715,0.5833,0.50393,0.27256,1.53152,2.53797,1.54765,0.0018416,0.0018416,0.0018416
6,983.602,1.54768,1.54955,1.35272,0.55079,0.49425,0.50499,0.28254,1.47681,4.84643,1.43494,0.001802,0.001802,0.001802
7,1139.22,1.4852,1.48886,1.32219,0.77161,0.55172,0.64223,0.36016,1.54418,2.70834,1.52497,0.0017624,0.0017624,0.0017624
8,1307.27,1.49686,1.36296,1.31785,0.77661,0.72414,0.76908,0.40673,1.53986,1.74989,1.41531,0.0017228,0.0017228,0.0017228
9,1469.3,1.49627,1.32836,1.30692,0.58427,0.67816,0.61363,0.33475,1.46836,1.88543,1.36973,0.0016832,0.0016832,0.0016832
10,1625.49,1.42266,1.25112,1.28366,0.84872,0.74713,0.83693,0.4658,1.45965,1.33021,1.34676,0.0016436,0.0016436,0.0016436
11,1797.34,1.38887,1.14005,1.25174,0.80726,0.78161,0.85149,0.42822,1.57288,1.40468,1.36721,0.001604,0.001604,0.001604
12,2048.25,1.51036,1.21906,1.26524,0.74987,0.81609,0.72325,0.36399,1.55379,1.40526,1.39068,0.0015644,0.0015644,0.0015644
13,2244.97,1.41827,1.06096,1.25154,0.84349,0.80529,0.87052,0.43671,1.57323,1.21107,1.40334,0.0015248,0.0015248,0.0015248
14,2411.25,1.4482,1.06443,1.26303,0.80707,0.85057,0.89064,0.51261,1.41201,1.133,1.30483,0.0014852,0.0014852,0.0014852
15,2570.27,1.34118,0.99252,1.21522,0.70516,0.76973,0.66777,0.36195,1.38559,1.40165,1.27315,0.0014456,0.0014456,0.0014456
16,2728.79,1.36302,0.9884,1.26328,0.9074,0.83908,0.90756,0.51501,1.44351,1.05262,1.28397,0.001406,0.001406,0.001406
17,2885.7,1.35272,0.95797,1.21077,0.88719,0.77011,0.86941,0.47991,1.47763,1.11313,1.31293,0.0013664,0.0013664,0.0013664
18,3040.3,1.31513,0.96297,1.19828,0.8976,0.80606,0.88629,0.50498,1.40176,1.04046,1.27662,0.0013268,0.0013268,0.0013268
19,3198.82,1.3516,0.923,1.24142,0.82492,0.81609,0.87206,0.50714,1.4241,1.30494,1.34213,0.0012872,0.0012872,0.0012872
20,3352.62,1.30046,0.8484,1.20705,0.85991,0.77617,0.87257,0.522,1.41918,1.00928,1.30784,0.0012476,0.0012476,0.0012476
21,3508.92,1.26597,0.84028,1.17178,0.78009,0.88506,0.88598,0.527,1.37035,0.94943,1.26709,0.001208,0.001208,0.001208
22,3665.04,1.23478,0.82751,1.1645,0.89603,0.86207,0.88668,0.52645,1.39189,0.8975,1.27693,0.0011684,0.0011684,0.0011684
23,3818.43,1.27652,0.84365,1.18825,0.87211,0.78387,0.88316,0.48292,1.41892,0.97302,1.35845,0.0011288,0.0011288,0.0011288
24,3974.97,1.2357,0.80011,1.17025,0.82048,0.89655,0.9224,0.53843,1.35346,0.88023,1.2912,0.0010892,0.0010892,0.0010892
25,4131.91,1.20285,0.79703,1.14424,0.89315,0.86472,0.89978,0.53513,1.33425,0.85432,1.25527,0.0010496,0.0010496,0.0010496
26,4289.29,1.30774,0.81994,1.17915,0.87177,0.85963,0.88317,0.51377,1.39922,0.86363,1.30941,0.00101,0.00101,0.00101
27,4445.6,1.24187,0.76405,1.16153,0.89602,0.89149,0.93546,0.58657,1.33102,0.82065,1.28063,0.0009704,0.0009704,0.0009704
28,4604.2,1.22712,0.77977,1.1425,0.92008,0.90805,0.90263,0.54242,1.3426,0.89112,1.26205,0.0009308,0.0009308,0.0009308
29,4758.18,1.24184,0.79829,1.15832,0.86264,0.86629,0.85778,0.54263,1.31286,0.91136,1.23157,0.0008912,0.0008912,0.0008912
30,4914.23,1.20834,0.7814,1.14997,0.84097,0.85094,0.90148,0.55054,1.30294,0.85212,1.284,0.0008516,0.0008516,0.0008516
31,5070.4,1.15207,0.73533,1.14734,0.88605,0.87356,0.92452,0.58656,1.31465,0.8019,1.22951,0.000812,0.000812,0.000812
32,5225.49,1.1731,0.7026,1.12607,0.895,0.89655,0.9131,0.59421,1.27863,0.79134,1.25376,0.0007724,0.0007724,0.0007724
33,5834.06,1.19148,0.71602,1.14119,0.91401,0.85528,0.91204,0.57592,1.30781,0.81704,1.2738,0.0007328,0.0007328,0.0007328
34,5990.55,1.14226,0.69759,1.08933,0.8826,0.89655,0.91452,0.57432,1.32433,0.84983,1.25466,0.0006932,0.0006932,0.0006932
35,6147.31,1.17633,0.71549,1.1373,0.9429,0.85057,0.90301,0.56846,1.28345,0.82765,1.25457,0.0006536,0.0006536,0.0006536
36,6302.82,1.12297,0.68265,1.10816,0.89753,0.90608,0.92931,0.58546,1.32067,0.76399,1.25507,0.000614,0.000614,0.000614
37,6830.36,1.13126,0.66943,1.11434,0.88347,0.90805,0.92704,0.58595,1.316,0.77301,1.24584,0.0005744,0.0005744,0.0005744
38,7001.99,1.13221,0.66841,1.09664,0.88494,0.88408,0.89881,0.54595,1.31757,0.78769,1.23786,0.0005348,0.0005348,0.0005348
39,7171.72,1.12051,0.6612,1.10525,0.84511,0.91954,0.92332,0.56883,1.34048,0.76889,1.24415,0.0004952,0.0004952,0.0004952
40,7337.39,1.12074,0.67078,1.10259,0.88802,0.87356,0.92091,0.58618,1.28417,0.70664,1.22597,0.0004556,0.0004556,0.0004556
41,7498.38,1.05311,0.63548,1.08226,0.88153,0.85528,0.91503,0.57458,1.35715,0.75322,1.25137,0.000416,0.000416,0.000416
42,7672.52,1.07895,0.6274,1.09228,0.91315,0.87356,0.91036,0.54874,1.31758,0.74353,1.2743,0.0003764,0.0003764,0.0003764
